uploads,subscribers,video_views,social_blade_rank,subscriber_rank,video_views_rank,country_rank,channel_type_rank,subscribers_last_30_days,video_views_last_30_days,percentage_subscribed_last_30_days,percentage_video_views_last_30_days,average_views_per_video,average_views_per_subscriber,channel_age,average_views_per_day
28878.0,101000.0,132074533.0,235323.0,2312.0,96777.0,38.0,1914.0,1800.0,1221000.0,0.01782178217821782,0.009244779991007047,4573.5346284368725,1307.6686435643564,,
675.0,60400.0,29418107.0,443470.0,2818.0,356875.0,62.0,2082.0,1300.0,291130.0,0.02152317880794702,0.009896285984682835,43582.380740740744,487.05475165562916,,
138.0,15500.0,8881452.0,184685.0,6052.0,911100.0,209.0,,2300.0,1995000.0,0.14838709677419354,0.22462543286840936,64358.34782608696,572.9969032258065,,
1186.0,276000.0,56546838.0,234604.0,2014.0,207302.0,12.0,1469.0,7000.0,1342000.0,0.025362318840579712,0.02373253832513146,47678.6155143339,204.87984782608694,,
112.0,36400.0,23938907.0,251756.0,3436.0,422357.0,106.0,2455.0,2300.0,1100000.0,0.06318681318681318,0.04595030174101098,213740.24107142858,657.6622802197802,,
3192.0,111000.0,85593980.0,273433.0,2260.0,143995.0,33.0,1896.0,,1027000.0,,0.011998507371663287,26815.15664160401,771.1169369369369,,
23.0,17200.0,15325694.0,283204.0,5631.0,599298.0,195.0,2406.0,300.0,983039.0,0.01744186046511628,0.06414319638640834,666334.5217391305,891.0287209302326,,
455.0,9730.0,5356811.0,281565.0,7599.0,1281592.0,269.0,,1270.0,888567.0,0.13052415210688592,0.16587611547243314,11773.21098901099,550.5458376156217,,
125.0,12000.0,6590963.0,275800.0,7057.0,1133166.0,241.0,1852.0,1800.0,1088000.0,0.15,0.16507451187330288,52727.704,549.2469166666667,,
61561.0,64000.0,90751650.0,284734.0,2767.0,136684.0,57.0,2283.0,400.0,923904.0,0.00625,0.010180575229210708,1474.1743961274183,1417.99453125,,
52300.0,70300.0,68672481.0,301403.0,2693.0,174706.0,50.0,2220.0,600.0,865433.0,0.008534850640113799,0.012602326104979373,1313.0493499043978,976.848947368421,,
84.0,19400.0,17797276.0,278172.0,5162.0,532586.0,178.0,2727.0,700.0,1020000.0,0.03608247422680412,0.05731214147603263,211872.33333333334,917.3853608247423,,
71.0,5020.0,2374721.0,314723.0,9708.0,2123890.0,441.0,4349.0,1260.0,687838.0,0.250996015936255,0.28965002625571595,33446.77464788732,473.0519920318725,,
574.0,10500.0,27388877.0,275534.0,7345.0,379244.0,252.0,3347.0,100.0,1193000.0,0.009523809523809525,0.04355782823808366,47715.81358885017,2608.464476190476,,
348.0,94200.0,8512556.0,304419.0,2397.0,949666.0,39.0,1200.0,1800.0,814011.0,0.01910828025477707,0.09562474537612439,24461.367816091955,90.36683651804671,,
1516.0,107000.0,134129628.0,320746.0,2276.0,95444.0,35.0,1403.0,,757079.0,,0.005644383059050906,88476.00791556729,1253.547925233645,,
108.0,1290.0,2916735.0,303276.0,13035.0,1944359.0,750.0,6368.0,250.0,901407.0,0.1937984496124031,0.30904658805136564,27006.805555555555,2261.0348837209303,,
510.0,19000.0,23772897.0,311782.0,5253.0,424064.0,182.0,2981.0,400.0,802471.0,0.021052631578947368,0.03375570928524193,46613.52352941177,1251.205105263158,,
1998.0,197000.0,98608953.0,304721.0,2107.0,126907.0,19.0,1394.0,1000.0,949316.0,0.005076142131979695,0.009627077168135028,49353.83033033033,500.55306091370556,,
86.0,67600.0,40223982.0,331003.0,2725.0,276077.0,53.0,2110.0,600.0,730136.0,0.008875739644970414,0.018151758321689783,467720.72093023255,595.0293195266272,,
215.0,64100.0,66901222.0,332141.0,2767.0,178565.0,57.0,2283.0,600.0,710596.0,0.0093603744149766,0.010621569812282353,311168.47441860463,1043.7008112324493,,
394.0,82500.0,26304942.0,330029.0,2544.0,392388.0,43.0,1962.0,1400.0,818981.0,0.01696969696969697,0.031134111605340166,66763.81218274112,318.84778181818183,,
1276.0,267000.0,204736096.0,322698.0,2024.0,63606.0,13.0,1734.0,,765807.0,,0.003740459132326134,160451.48589341692,766.8018576779026,,
36.0,204000.0,210272733.0,317195.0,2099.0,61951.0,18.0,1671.0,,797774.0,,0.003793996437949946,5840909.25,1030.7486911764706,,
1420.0,28200.0,33817969.0,357120.0,4001.0,318062.0,134.0,2745.0,300.0,484039.0,0.010638297872340425,0.014313071255107012,23815.471126760563,1199.2187588652482,,
144.0,34300.0,33156464.0,356096.0,3532.0,323426.0,112.0,2478.0,400.0,614095.0,0.011661807580174927,0.01852112456865123,230253.22222222222,966.6607580174928,,
2121.0,317000.0,180096809.0,324382.0,1968.0,72135.0,10.0,1426.0,1000.0,966059.0,0.0031545741324921135,0.005364109477364477,84911.27251296559,568.1287350157729,,
298.0,11200.0,6334791.0,457738.0,7139.0,1123877.0,245.0,3301.0,100.0,85374.0,0.008928571428571428,0.013477003424422368,21257.687919463086,565.6063392857143,,
41.0,6200.0,3606755.0,347972.0,8921.0,1644179.0,385.0,,1020.0,670699.0,0.16451612903225807,0.18595635134629326,87969.63414634146,581.7346774193549,,
23.0,16800.0,10836420.0,339030.0,5724.0,782842.0,199.0,,800.0,797438.0,0.047619047619047616,0.07358869442122029,471148.6956521739,645.025,,
688.0,381000.0,117917832.0,362681.0,1898.0,107693.0,8.0,1136.0,2000.0,669322.0,0.005249343832020997,0.005676172879433537,171392.1976744186,309.49562204724407,,
60.0,9830.0,8805639.0,330066.0,7575.0,907284.0,267.0,3034.0,750.0,824783.0,0.0762970498474059,0.09366532059740355,146760.65,895.7923702950153,,
1689.0,57400.0,70053416.0,377679.0,2860.0,171563.0,68.0,2352.0,500.0,546151.0,0.008710801393728223,0.007796207967931214,41476.26761397276,1220.442787456446,,
84.0,165.0,2441915.0,331724.0,14130.0,2148026.0,1497.0,7432.0,33.0,794340.0,0.2,0.32529387796053505,29070.416666666668,14799.484848484848,,
1952.0,35600.0,25977445.0,382714.0,3463.0,394649.0,108.0,2462.0,600.0,574640.0,0.016853932584269662,0.022120728193246102,13308.11731557377,729.703511235955,,
401.0,81800.0,51249119.0,396158.0,2547.0,224888.0,44.0,1594.0,700.0,448965.0,0.008557457212713936,0.008760443277083457,127803.28927680798,626.517347188264,,
1119.0,102000.0,43551654.0,389890.0,2303.0,258486.0,37.0,1658.0,1000.0,611679.0,0.00980392156862745,0.014044908604389629,38920.15549597855,426.977,,
1087.0,77300.0,52881746.0,408541.0,2601.0,219043.0,46.0,1511.0,300.0,497295.0,0.0038809831824062097,0.009403906595671028,48649.26034958602,684.1105562742562,,
672.0,145000.0,174114941.0,415051.0,2179.0,74434.0,25.0,1362.0,1000.0,491459.0,0.006896551724137931,0.002822612448865029,259099.61458333334,1200.7926965517242,,
69.0,58000.0,4887760.0,428435.0,2858.0,1367234.0,66.0,2212.0,2700.0,469169.0,0.04655172413793104,0.09598855099268376,70837.10144927536,84.27172413793103,,
110.0,11100.0,8325640.0,259088.0,7185.0,943737.0,247.0,,1380.0,1155000.0,0.12432432432432433,0.1387280737576931,75687.63636363637,750.0576576576576,,
10.0,3230.0,3279951.0,423048.0,11130.0,1769118.0,565.0,,400.0,493187.0,0.1238390092879257,0.1503641365374056,327995.1,1015.464705882353,,
126.0,14500.0,13910749.0,433711.0,6234.0,643131.0,216.0,3139.0,300.0,437785.0,0.020689655172413793,0.031470986932479336,110402.76984126984,959.362,,
53.0,1170.0,21619.0,428267.0,13115.0,3508141.0,758.0,4190.0,10.0,17484.0,0.008547008547008548,0.8087330588833896,407.9056603773585,18.477777777777778,,
94.0,8340.0,5679344.0,430224.0,7980.0,1222393.0,303.0,2850.0,290.0,453162.0,0.03477218225419664,0.07979125758186156,60418.55319148936,680.9764988009592,,
