video_id,channel_id,publish_at,duration,views,likes,dislikes,comments,topic
Pf-Vd9xEltA,UCMMvwLa0iHtOhIGAb9O_DKA,2023-07-13T09:02:01Z,PT49S,49122,1339,0,0,['Entertainment']
V3SSrZCBuxw,UCMMvwLa0iHtOhIGAb9O_DKA,2023-07-13T02:22:15Z,PT10M10S,8340,43,0,1,['Lifestyle_(sociology)']
j0Y9kHqyFBM,UCMMvwLa0iHtOhIGAb9O_DKA,2023-07-13T01:50:40Z,PT28S,105051,2459,0,5,['Lifestyle_(sociology)']
L3kXVQ7E-X8,UCMMvwLa0iHtOhIGAb9O_DKA,2023-07-12T13:18:42Z,PT10M1S,19269,82,0,2,['Lifestyle_(sociology)']
O-zMMw9QPDE,UCMMvwLa0iHtOhIGAb9O_DKA,2023-07-12T12:38:58Z,PT27S,703410,11392,0,9,['Entertainment']
Eh1EIRF25A4,UCMMvwLa0iHtOhIGAb9O_DKA,2023-07-12T10:45:28Z,PT10M42S,11564,51,0,0,['Lifestyle_(sociology)']
e9LGJLCIL_U,UCMMvwLa0iHtOhIGAb9O_DKA,2023-07-12T10:31:26Z,PT28S,419191,8387,0,14,"['Entertainment', 'Film']"
mvciiJcN328,UCMMvwLa0iHtOhIGAb9O_DKA,2023-07-12T02:36:56Z,PT35S,117378,2865,0,7,['Entertainment']
8pKx5R97YvQ,UCMMvwLa0iHtOhIGAb9O_DKA,2023-07-12T02:11:28Z,PT10M9S,13681,59,0,3,['Lifestyle_(sociology)']
iX0aV3JFbGM,UCMMvwLa0iHtOhIGAb9O_DKA,2023-07-11T13:00:24Z,PT26S,987801,16815,0,10,['Entertainment']
4mfk2cgYK2s,UCScsOwqWgP63uqlNEGimJdA,2023-07-13T09:30:02Z,PT29S,40060,5826,0,0,['Lifestyle_(sociology)']
3OdDSVrige8,UCScsOwqWgP63uqlNEGimJdA,2023-07-12T10:30:01Z,PT55S,90217,5368,0,47,['Entertainment']
Xe4B3D-xQLs,UCScsOwqWgP63uqlNEGimJdA,2023-07-12T09:30:13Z,PT30S,661349,71695,0,122,['Lifestyle_(sociology)']
Xxq6Jl4TNnE,UCScsOwqWgP63uqlNEGimJdA,2023-07-11T10:30:20Z,PT30S,244021,15251,0,48,
QYcBVVJkq-o,UCScsOwqWgP63uqlNEGimJdA,2023-07-11T09:30:11Z,PT35S,524582,43374,0,184,['Entertainment']
-j45rR0FAGE,UCScsOwqWgP63uqlNEGimJdA,2023-07-10T10:30:00Z,PT47S,662504,42483,0,279,['Entertainment']
5G7YLh1LhW8,UCScsOwqWgP63uqlNEGimJdA,2023-07-10T09:30:01Z,PT27S,700489,71019,0,302,['Entertainment']
UKOnBg92gSc,UCScsOwqWgP63uqlNEGimJdA,2023-07-09T12:30:22Z,PT2M9S,20158,438,0,37,"['Hobby', 'Lifestyle_(sociology)']"
cBFoIN_AE8Q,UCScsOwqWgP63uqlNEGimJdA,2023-07-09T10:30:16Z,PT28S,2325671,153296,0,208,['Entertainment']
U6gIWL6CLaY,UCScsOwqWgP63uqlNEGimJdA,2023-07-09T09:30:08Z,PT30S,4255607,238383,0,651,['Entertainment']
CgD8o_1tkK8,UCuiyUjYZyG24sgzBG0P6WsQ,2023-07-13T09:48:41Z,PT40S,7200,269,0,0,"['Entertainment', 'Film', 'Humour']"
_t1NnGbXuiE,UCuiyUjYZyG24sgzBG0P6WsQ,2023-07-13T09:42:53Z,PT10M40S,2543,19,0,0,['Lifestyle_(sociology)']
ZQVYHdkM9F4,UCuiyUjYZyG24sgzBG0P6WsQ,2023-07-13T02:21:01Z,PT11M41S,39164,234,0,0,['Lifestyle_(sociology)']
5UaOo66nzaI,UCuiyUjYZyG24sgzBG0P6WsQ,2023-07-13T02:03:13Z,PT49S,103916,2423,0,0,['Entertainment']
L5kKc0sQAkc,UCuiyUjYZyG24sgzBG0P6WsQ,2023-07-12T13:18:12Z,PT34S,920324,14398,0,6,"['Lifestyle_(sociology)', 'Vehicle']"
QH81dAhsKw8,UCuiyUjYZyG24sgzBG0P6WsQ,2023-07-12T12:38:19Z,PT10M15S,19151,92,0,1,['Lifestyle_(sociology)']
oYOs3l_6gH4,UCuiyUjYZyG24sgzBG0P6WsQ,2023-07-12T10:45:36Z,PT10M6S,24878,117,0,0,['Lifestyle_(sociology)']
R4R7RS0sb1o,UCuiyUjYZyG24sgzBG0P6WsQ,2023-07-12T10:43:03Z,PT36S,146955,3152,0,1,"['Entertainment', 'Film']"
iIpgm1yD8W4,UCuiyUjYZyG24sgzBG0P6WsQ,2023-07-12T04:04:37Z,PT20S,114226,2634,0,0,['Entertainment']
loLtnkMXIqo,UCuiyUjYZyG24sgzBG0P6WsQ,2023-07-12T02:37:21Z,PT11M34S,52734,232,0,1,['Lifestyle_(sociology)']
6ozTerl7A2A,UC9CfoBAZw3bU-OPmQDjVOnQ,2023-07-13T04:30:02Z,PT31S,29322,713,0,3,['Lifestyle_(sociology)']
Iwrg-8JjZKI,UC9CfoBAZw3bU-OPmQDjVOnQ,2023-07-13T04:00:07Z,PT43S,12070,384,0,1,['Lifestyle_(sociology)']
aZ7J24AOnzc,UC9CfoBAZw3bU-OPmQDjVOnQ,2023-07-12T12:30:00Z,PT30S,20232,433,0,0,['Lifestyle_(sociology)']
J3i58GYNRB4,UC9CfoBAZw3bU-OPmQDjVOnQ,2023-07-12T04:30:05Z,PT35S,135337,2102,0,3,['Lifestyle_(sociology)']
